Prime Motors | 123 Main Street | 555-123-4567
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|Sedan|Gray|103221|6995.0
89231|2015|Toyota|Camry|Sedan|Silver|50000|14995.0
65478|2018|Chevrolet|Silverado|Truck|Black|35000|28995.0
77234|2019|Nissan|Altima|Sedan|Blue|25000|21995.0
33679|2016|Honda|CR-V|SUV|White|40000|17995.0
55123|2017|Ford|Mustang|Coupe|Red|30000|24995.0
98765|2014|Volkswagen|Golf|Hatchback|Blue|60000|19995.0
44321|2013|Volkswagen|Jetta|Sedan|Silver|45000|10995.0
